
  =-------------------------------------------------------------------=

                           Hubbard U parameters:

       site n.  type  label  spin  new_type  new_label  Hubbard U (eV)
         1        1    Co1     1      1         Co1        6.6421
         2        2    Co2    -1      1         Co1        6.6421
         3        3    O       0      3         O          8.7450
         4        3    O       0      3         O          8.7450

  =-------------------------------------------------------------------=


                           Hubbard V parameters:
                      (adapted for a supercell 3x3x3)

            Atom 1     Atom 2    Distance (Bohr)  Hubbard V (eV)
 
             1 Co1      1 Co1       0.000000        6.6421
             1 Co1     55 O         4.027403        0.4917
             1 Co1     47 O         4.027403        0.4917
             1 Co1     23 O         4.027403        0.4917
             1 Co1     12 O         4.027403        0.4917
             1 Co1     44 O         4.027403        0.4917
             1 Co1     20 O         4.027403        0.4917
             1 Co1     42 Co1       5.684134       -0.1783
             1 Co1     18 Co1       5.684134       -0.1783
             1 Co1     10 Co1       5.684134       -0.1783
             1 Co1     54 Co1       5.684134       -0.1783
             1 Co1     46 Co1       5.684134       -0.1783
             1 Co1     22 Co1       5.684134       -0.1783
             1 Co1     49 Co1       5.707060        0.1477
             1 Co1     33 Co1       5.707060        0.1477
             1 Co1     25 Co1       5.707060        0.1477
             1 Co1      3 O         6.947532       -0.2724
             1 Co1      8 O         6.947532       -0.2724
             1 Co1     15 O         6.985020       -0.1117
             1 Co1     31 O         6.985020       -0.1117
             1 Co1     30 Co1       8.054807       -0.1923
             1 Co1     14 Co1       8.054807       -0.1923
             1 Co1     79 O         8.991036       -0.2838
             1 Co1     51 O         8.991036       -0.2838
             1 Co1     87 O         8.991036       -0.2838
             1 Co1     27 O         8.991036       -0.2838
             1 Co1     63 O         8.991036       -0.2838
             1 Co1     35 O         8.991036       -0.2838
             1 Co1     53 Co1       9.831936       -0.5256
             1 Co1     45 Co1       9.831936       -0.5256
             1 Co1     21 Co1       9.831936       -0.5256
             1 Co1     13 Co1      11.368267       -0.5277

             2 Co1      2 Co1       0.000000        6.6421
             2 Co1     67 O         4.027403        0.4917
             2 Co1     56 O         4.027403        0.4917
             2 Co1     24 O         4.027403        0.4917
             2 Co1     48 O         4.027403        0.4917
             2 Co1     91 O         4.027403        0.4917
             2 Co1     59 O         4.027403        0.4917
             2 Co1    101 Co1       5.684134       -0.1783
             2 Co1     93 Co1       5.684134       -0.1783
             2 Co1     69 Co1       5.684134       -0.1783
             2 Co1     89 Co1       5.684134       -0.1783
             2 Co1     65 Co1       5.684134       -0.1783
             2 Co1     57 Co1       5.684134       -0.1783
             2 Co1     50 Co1       5.707060        0.1477
             2 Co1     34 Co1       5.707060        0.1477
             2 Co1     26 Co1       5.707060        0.1477
             2 Co1      4 O         6.947532       -0.2724
             2 Co1      3 O         6.947532       -0.2724
             2 Co1     16 O         6.985020       -0.1117
             2 Co1     32 O         6.985020       -0.1117
             2 Co1     81 Co1       8.054807       -0.1923
             2 Co1     37 Co1       8.054807       -0.1923
             2 Co1     52 O         8.991036       -0.2838
             2 Co1     36 O         8.991036       -0.2838
             2 Co1     28 O         8.991036       -0.2838
             2 Co1     51 O         8.991036       -0.2838
             2 Co1     35 O         8.991036       -0.2838
             2 Co1     27 O         8.991036       -0.2838
             2 Co1     54 Co1       9.831936       -0.5256
             2 Co1     46 Co1       9.831936       -0.5256
             2 Co1     22 Co1       9.831936       -0.5256
             2 Co1     14 Co1      11.368267       -0.5277

             3 O        3 O         0.000000        8.7450
             3 O       54 Co1       4.027403        0.4917
             3 O       89 Co1       4.027403        0.4917
             3 O       46 Co1       4.027403        0.4917
             3 O       65 Co1       4.027403        0.4917
             3 O       22 Co1       4.027403        0.4917
             3 O       57 Co1       4.027403        0.4917
             3 O       44 O         5.684134       -0.1195
             3 O       20 O         5.684134       -0.1195
             3 O       12 O         5.684134       -0.1195
             3 O       56 O         5.684134       -0.1195
             3 O       48 O         5.684134       -0.1195
             3 O       24 O         5.684134       -0.1195
             3 O       35 O         5.707060       -0.0604
             3 O       27 O         5.707060       -0.0604
             3 O       51 O         5.707060       -0.0604
             3 O        2 Co1       6.947532       -0.2724
             3 O        1 Co1       6.947532       -0.2724
             3 O       14 Co1       6.985020       -0.1117
             3 O       37 Co1       6.985020       -0.1117
             3 O       32 O         8.054807       -0.0915
             3 O       16 O         8.054807       -0.0915
             3 O       50 Co1       8.991036       -0.2838
             3 O       34 Co1       8.991036       -0.2838
             3 O       26 Co1       8.991036       -0.2838
             3 O       49 Co1       8.991036       -0.2838
             3 O       33 Co1       8.991036       -0.2838
             3 O       25 Co1       8.991036       -0.2838
             3 O       55 O         9.831936       -0.2080
             3 O       47 O         9.831936       -0.2080
             3 O       23 O         9.831936       -0.2080
             3 O       15 O        11.368267       -0.1950

             4 O        4 O         0.000000        8.7450
             4 O      101 Co1       4.027403        0.4917
             4 O       93 Co1       4.027403        0.4917
             4 O       69 Co1       4.027403        0.4917
             4 O       90 Co1       4.027403        0.4917
             4 O       66 Co1       4.027403        0.4917
             4 O       58 Co1       4.027403        0.4917
             4 O       59 O         5.684134       -0.1195
             4 O       91 O         5.684134       -0.1195
             4 O       67 O         5.684134       -0.1195
             4 O       95 O         5.684134       -0.1195
             4 O       71 O         5.684134       -0.1195
             4 O      103 O         5.684134       -0.1195
             4 O       52 O         5.707060       -0.0604
             4 O       36 O         5.707060       -0.0604
             4 O       28 O         5.707060       -0.0604
             4 O        2 Co1       6.947532       -0.2724
             4 O      105 Co1       6.947532       -0.2724
             4 O       38 Co1       6.985020       -0.1117
             4 O       83 O         8.054807       -0.0915
             4 O       39 O         8.054807       -0.0915
             4 O       50 Co1       8.991036       -0.2838
             4 O       34 Co1       8.991036       -0.2838
             4 O       26 Co1       8.991036       -0.2838
             4 O       56 O         9.831936       -0.2080
             4 O       48 O         9.831936       -0.2080
             4 O       24 O         9.831936       -0.2080
             4 O       16 O        11.368267       -0.1950


  =-------------------------------------------------------------------=

    6  nearest neighbors of every atom are written to the file parameters.out
