 Written on 17Oct2022 at 15:19: 8 
           4
         216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
    0    0    0    1    1    0.160537   -0.000000
    0    0    0    2    1   -1.238620    0.000000
    0    0    0    3    1   -1.238620    0.000000
    0    0    0    4    1   -1.238620   -0.000000
    0    0    0    1    2   -1.238620   -0.000000
    0    0    0    2    2    0.160537   -0.000000
    0    0    0    3    2   -1.238620    0.000000
    0    0    0    4    2   -1.238620   -0.000000
    0    0    0    1    3   -1.238620   -0.000000
    0    0    0    2    3   -1.238620   -0.000000
    0    0    0    3    3    0.160537    0.000000
    0    0    0    4    3   -1.238620   -0.000000
    0    0    0    1    4   -1.238620    0.000000
    0    0    0    2    4   -1.238620    0.000000
    0    0    0    3    4   -1.238620    0.000000
    0    0    0    4    4    0.160537   -0.000000
    0    0    1    1    1   -0.047899   -0.000000
    0    0    1    2    1    0.012639   -0.000000
    0    0    1    3    1   -0.088666    0.000000
    0    0    1    4    1    0.020516   -0.000000
    0    0    1    1    2   -0.088666    0.000000
    0    0    1    2    2    0.334156   -0.000000
    0    0    1    3    2   -1.238618    0.000000
    0    0    1    4    2   -0.088666   -0.000000
    0    0    1    1    3    0.012639    0.000000
    0    0    1    2    3   -0.124406    0.000000
    0    0    1    3    3    0.334156    0.000000
    0    0    1    4    3    0.012639    0.000000
    0    0    1    1    4    0.020516   -0.000000
    0    0    1    2    4    0.012639   -0.000000
    0    0    1    3    4   -0.088666    0.000000
    0    0    1    4    4   -0.047899    0.000000
    0    0    2    1    1   -0.002829    0.000000
    0    0    2    2    1    0.000426   -0.000000
    0    0    2    3    1    0.003422   -0.000000
    0    0    2    4    1   -0.001142   -0.000000
    0    0    2    1    2    0.003422    0.000000
    0    0    2    2    2    0.054214   -0.000000
    0    0    2    3    2   -0.124405    0.000000
    0    0    2    4    2    0.003422   -0.000000
    0    0    2    1    3    0.000426    0.000000
    0    0    2    2    3   -0.033563    0.000000
    0    0    2    3    3    0.054214    0.000000
    0    0    2    4    3    0.000426    0.000000
    0    0    2    1    4   -0.001142    0.000000
    0    0    2    2    4    0.000426    0.000000
    0    0    2    3    4    0.003422   -0.000000
    0    0    2    4    4   -0.002829    0.000000
    0    0    3    1    1   -0.001122   -0.000000
