 Written on 17Oct2022 at 16:46:58 
          26
          64
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1
    0    0    0    1    1 -117.831368    0.000000
    0    0    0    2    1   -0.059310   -0.000000
    0    0    0    3    1    0.000000    0.000000
    0    0    0    4    1    0.015292    0.000000
    0    0    0    5    1    0.285200    0.000000
    0    0    0    6    1    0.000000   -0.000000
    0    0    0    7    1   -0.008177    0.000000
    0    0    0    8    1    0.009788    0.000000
    0    0    0    9    1    0.000000    0.000000
    0    0    0   10    1    0.388374   -0.000000
    0    0    0   11    1   -0.409833    0.000000
    0    0    0   12    1   -0.000000   -0.000000
    0    0    0   13    1    0.143075    0.000000
    0    0    0   14    1   -0.152228    0.000000
    0    0    0   15    1    0.000000    0.000000
    0    0    0   16    1    0.166944    0.000000
    0    0    0   17    1   -0.266404   -0.000000
    0    0    0   18    1    0.000000   -0.000000
    0    0    0   19    1    4.715693   -0.000000
    0    0    0   20    1   -8.757804   -0.000000
    0    0    0   21    1   -0.000000    0.000000
    0    0    0   22    1    0.001292    0.000000
    0    0    0   23    1    4.936268    0.000000
    0    0    0   24    1    2.850227    0.000000
    0    0    0   25    1   -0.000000   -0.000000
    0    0    0   26    1    8.873052    0.000000
    0    0    0    1    2   -0.059310    0.000000
    0    0    0    2    2  -73.192534   -0.000000
    0    0    0    3    2   -0.000000    0.000000
    0    0    0    4    2   -0.007679   -0.000000
    0    0    0    5    2   -1.521562    0.000000
    0    0    0    6    2   -0.000000    0.000000
    0    0    0    7    2    0.000594    0.000000
    0    0    0    8    2    0.002618   -0.000000
    0    0    0    9    2    0.000000   -0.000000
    0    0    0   10    2    0.266207    0.000000
    0    0    0   11    2   -0.388007    0.000000
    0    0    0   12    2    0.000000    0.000000
    0    0    0   13    2    0.181833   -0.000000
    0    0    0   14    2    0.099013   -0.000000
    0    0    0   15    2    0.000000    0.000000
    0    0    0   16    2   -0.040402    0.000000
    0    0    0   17    2   -0.092372    0.000000
    0    0    0   18    2   -0.000000   -0.000000
    0    0    0   19    2    5.375706   -0.000000
    0    0    0   20    2   -6.824431   -0.000000
    0    0    0   21    2    0.000000    0.000000
    0    0    0   22    2   -0.001377   -0.000000
    0    0    0   23    2   -1.748991    0.000000
    0    0    0   24    2    2.072907   -0.000000
    0    0    0   25    2    0.000000    0.000000
    0    0    0   26    2   -2.982298    0.000000
    0    0    0    1    3    0.000000   -0.000000
    0    0    0    2    3   -0.000000   -0.000000
    0    0    0    3    3  -73.258188    0.000000
    0    0    0    4    3   -0.000000    0.000000
    0    0    0    5    3    0.000000    0.000000
    0    0    0    6    3    0.876856   -0.000000
    0    0    0    7    3   -0.000000   -0.000000
    0    0    0    8    3   -0.000000    0.000000
    0    0    0    9    3   -1.340158   -0.000000
    0    0    0   10    3   -0.000000    0.000000
    0    0    0   11    3    0.000000   -0.000000
    0    0    0   12    3    0.140727    0.000000
    0    0    0   13    3    0.000000    0.000000
    0    0    0   14    3    0.000000    0.000000
    0    0    0   15    3   -0.095745    0.000000
    0    0    0   16    3    0.000000   -0.000000
    0    0    0   17    3    0.000000    0.000000
    0    0    0   18    3   -0.078219    0.000000
    0    0    0   19    3    0.000000    0.000000
    0    0    0   20    3    0.000000    0.000000
    0    0    0   21    3    2.906569   -0.000000
    0    0    0   22    3   -0.000000    0.000000
    0    0    0   23    3    0.000000    0.000000
    0    0    0   24    3    0.000000    0.000000
    0    0    0   25    3    3.029419   -0.000000
    0    0    0   26    3    0.000000   -0.000000
    0    0    0    1    4    0.015292   -0.000000
    0    0    0    2    4   -0.007679    0.000000
    0    0    0    3    4   -0.000000   -0.000000
    0    0    0    4    4  -73.202117    0.000000
    0    0    0    5    4   -0.001841   -0.000000
    0    0    0    6    4    0.000000   -0.000000
    0    0    0    7    4    0.867981   -0.000000
    0    0    0    8    4   -1.341204   -0.000000
    0    0    0    9    4   -0.000000   -0.000000
    0    0    0   10    4   -0.358746   -0.000000
    0    0    0   11    4    0.342678    0.000000
    0    0    0   12    4    0.000000   -0.000000
    0    0    0   13    4   -0.193448    0.000000
    0    0    0   14    4   -0.458148   -0.000000
    0    0    0   15    4    0.000000   -0.000000
    0    0    0   16    4    0.061841   -0.000000
    0    0    0   17    4   -0.252423   -0.000000
    0    0    0   18    4   -0.000000    0.000000
    0    0    0   19    4   -0.000773    0.000000
    0    0    0   20    4    0.000940    0.000000
    0    0    0   21    4   -0.000000   -0.000000
    0    0    0   22    4    2.909083   -0.000000
    0    0    0   23    4   -5.079277   -0.000000
    0    0    0   24    4   -2.815622   -0.000000
    0    0    0   25    4   -0.000000    0.000000
    0    0    0   26    4   -5.854135   -0.000000
    0    0    0    1    5    0.285200   -0.000000
    0    0    0    2    5   -1.521562   -0.000000
    0    0    0    3    5    0.000000   -0.000000
    0    0    0    4    5   -0.001841    0.000000
    0    0    0    5    5   -0.054365    0.000000
    0    0    0    6    5   -0.000000    0.000000
    0    0    0    7    5   -0.000208    0.000000
    0    0    0    8    5   -0.000257   -0.000000
    0    0    0    9    5    0.000000   -0.000000
    0    0    0   10    5    0.265428    0.000000
    0    0    0   11    5    0.258612    0.000000
    0    0    0   12    5    0.000000   -0.000000
    0    0    0   13    5    0.152116   -0.000000
    0    0    0   14    5    0.055184    0.000000
    0    0    0   15    5    0.000000   -0.000000
    0    0    0   16    5    0.104457    0.000000
    0    0    0   17    5    0.105325    0.000000
    0    0    0   18    5    0.000000    0.000000
    0    0    0   19    5   -1.601460   -0.000000
    0    0    0   20    5    0.795138   -0.000000
    0    0    0   21    5    0.000000    0.000000
    0    0    0   22    5    0.000257    0.000000
    0    0    0   23    5    0.579330    0.000000
    0    0    0   24    5    0.414487   -0.000000
    0    0    0   25    5   -0.000000    0.000000
    0    0    0   26    5    0.144745   -0.000000
    0    0    0    1    6    0.000000    0.000000
    0    0    0    2    6   -0.000000   -0.000000
    0    0    0    3    6    0.876856    0.000000
    0    0    0    4    6    0.000000    0.000000
    0    0    0    5    6   -0.000000   -0.000000
    0    0    0    6    6    0.118116   -0.000000
    0    0    0    7    6   -0.000000   -0.000000
    0    0    0    8    6    0.000000   -0.000000
    0    0    0    9    6    0.114020   -0.000000
    0    0    0   10    6   -0.000000   -0.000000
    0    0    0   11    6    0.000000   -0.000000
    0    0    0   12    6   -0.023272   -0.000000
    0    0    0   13    6   -0.000000    0.000000
    0    0    0   14    6    0.000000   -0.000000
    0    0    0   15    6    0.031313   -0.000000
    0    0    0   16    6    0.000000    0.000000
    0    0    0   17    6    0.000000    0.000000
    0    0    0   18    6   -0.033297   -0.000000
    0    0    0   19    6    0.000000   -0.000000
    0    0    0   20    6    0.000000    0.000000
    0    0    0   21    6   -0.517040    0.000000
    0    0    0   22    6   -0.000000   -0.000000
    0    0    0   23    6   -0.000000   -0.000000
    0    0    0   24    6    0.000000   -0.000000
    0    0    0   25    6    0.058418    0.000000
    0    0    0   26    6   -0.000000    0.000000
    0    0    0    1    7   -0.008177   -0.000000
    0    0    0    2    7    0.000594   -0.000000
    0    0    0    3    7   -0.000000    0.000000
    0    0    0    4    7    0.867981    0.000000
    0    0    0    5    7   -0.000208   -0.000000
    0    0    0    6    7   -0.000000    0.000000
    0    0    0    7    7    0.117475   -0.000000
    0    0    0    8    7    0.114025   -0.000000
    0    0    0    9    7   -0.000000    0.000000
    0    0    0   10    7    0.321982    0.000000
    0    0    0   11    7    0.366372   -0.000000
    0    0    0   12    7    0.000000   -0.000000
    0    0    0   13    7    0.030261    0.000000
    0    0    0   14    7    0.041678   -0.000000
    0    0    0   15    7    0.000000   -0.000000
    0    0    0   16    7   -0.059284   -0.000000
    0    0    0   17    7   -0.015961   -0.000000
    0    0    0   18    7    0.000000   -0.000000
    0    0    0   19    7    0.000272   -0.000000
    0    0    0   20    7   -0.000700   -0.000000
    0    0    0   21    7   -0.000000   -0.000000
    0    0    0   22    7   -0.515967    0.000000
    0    0    0   23    7   -0.823207   -0.000000
    0    0    0   24    7    0.252298   -0.000000
    0    0    0   25    7   -0.000000    0.000000
    0    0    0   26    7   -0.509723    0.000000
    0    0    0    1    8    0.009788   -0.000000
    0    0    0    2    8    0.002618    0.000000
    0    0    0    3    8   -0.000000   -0.000000
    0    0    0    4    8   -1.341204    0.000000
    0    0    0    5    8   -0.000257    0.000000
    0    0    0    6    8    0.000000    0.000000
    0    0    0    7    8    0.114025    0.000000
    0    0    0    8    8    0.032286   -0.000000
    0    0    0    9    8    0.000000   -0.000000
    0    0    0   10    8   -0.069971    0.000000
    0    0    0   11    8    0.041397    0.000000
    0    0    0   12    8    0.000000    0.000000
    0    0    0   13    8   -0.048546    0.000000
    0    0    0   14    8    0.031696    0.000000
    0    0    0   15    8   -0.000000   -0.000000
    0    0    0   16    8   -0.008704    0.000000
    0    0    0   17    8   -0.009263    0.000000
    0    0    0   18    8   -0.000000    0.000000
    0    0    0   19    8    0.000482   -0.000000
    0    0    0   20    8    0.001080   -0.000000
    0    0    0   21    8   -0.000000    0.000000
    0    0    0   22    8    0.053165   -0.000000
    0    0    0   23    8    1.258635    0.000000
    0    0    0   24    8    0.295706    0.000000
    0    0    0   25    8    0.000000    0.000000
    0    0    0   26    8    0.584103    0.000000
    0    0    0    1    9    0.000000   -0.000000
    0    0    0    2    9    0.000000    0.000000
    0    0    0    3    9   -1.340158    0.000000
    0    0    0    4    9   -0.000000    0.000000
    0    0    0    5    9    0.000000    0.000000
    0    0    0    6    9    0.114020    0.000000
    0    0    0    7    9   -0.000000   -0.000000
    0    0    0    8    9    0.000000    0.000000
    0    0    0    9    9    0.032281   -0.000000
    0    0    0   10    9    0.000000   -0.000000
    0    0    0   11    9    0.000000    0.000000
    0    0    0   12    9   -0.101258   -0.000000
    0    0    0   13    9   -0.000000    0.000000
    0    0    0   14    9   -0.000000    0.000000
    0    0    0   15    9   -0.028644    0.000000
    0    0    0   16    9   -0.000000   -0.000000
    0    0    0   17    9    0.000000   -0.000000
    0    0    0   18    9    0.012349   -0.000000
    0    0    0   19    9   -0.000000   -0.000000
    0    0    0   20    9   -0.000000    0.000000
    0    0    0   21    9    0.053591   -0.000000
    0    0    0   22    9   -0.000000   -0.000000
    0    0    0   23    9   -0.000000   -0.000000
    0    0    0   24    9   -0.000000    0.000000
    0    0    0   25    9    0.545685    0.000000
    0    0    0   26    9   -0.000000    0.000000
    0    0    0    1   10    0.388374    0.000000
    0    0    0    2   10    0.266207   -0.000000
    0    0    0    3   10   -0.000000   -0.000000
    0    0    0    4   10   -0.358746    0.000000
    0    0    0    5   10    0.265428   -0.000000
    0    0    0    6   10   -0.000000    0.000000
    0    0    0    7   10    0.321982   -0.000000
    0    0    0    8   10   -0.069971   -0.000000
    0    0    0    9   10    0.000000    0.000000
    0    0    0   10   10 -117.831385    0.000000
    0    0    0   11   10   -0.059307    0.000000
    0    0    0   12   10    0.000000   -0.000000
    0    0    0   13   10   -0.015292   -0.000000
    0    0    0   14   10    0.285428    0.000000
    0    0    0   15   10    0.000000    0.000000
